City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,ilulissat,69.2167,-51.1,-1.99,74,72,0.0,GL,1695248893
201,vila franca do campo,37.7167,-25.4333,22.23,99,100,3.26,PT,1695248893
202,itacare,-14.2775,-38.9967,22.58,81,1,2.39,BR,1695248894
203,soma,39.1855,27.6094,16.71,66,1,3.01,TR,1695248894
204,kalawit,8.0667,122.5167,25.19,92,91,2.33,PH,1695248895
205,happy valley-goose bay,53.3168,-60.3315,8.17,81,100,8.23,CA,1695248896
206,hastings,50.8552,0.5729,18.86,46,100,11.64,GB,1695248896
207,uturoa,-16.7333,-151.4333,24.35,72,48,6.19,PF,1695248897
208,san gabriel chilac,18.3167,-97.35,30.49,37,2,5.04,MX,1695248897
209,sao tome,0.3365,6.7273,26.02,89,75,4.12,ST,1695248898
210,kralendijk,12.15,-68.2667,30.99,66,0,7.2,BQ,1695248899
211,xiongzhou,25.1167,114.3,24.9,88,47,1.05,CN,1695248899
212,vejen,55.4833,9.15,18.16,77,99,3.09,DK,1695248599
213,viedma,-40.8135,-62.9967,10.01,76,100,6.09,AR,1695248900
214,nicoya,10.1483,-85.452,27.77,83,99,1.21,CR,1695248901
215,veraval,20.9,70.3667,26.93,90,91,2.89,IN,1695248902
216,calvinia,-31.4707,19.776,10.24,73,0,1.91,ZA,1695248902
217,susuman,62.7833,148.1667,-0.2,83,100,6.23,RU,1695248903
218,mangai,-4.05,19.5333,22.42,87,59,1.06,CD,1695248903
219,dunedin,-45.8742,170.5036,17.67,51,36,1.34,NZ,1695248253
220,poronaysk,49.2167,143.1167,10.96,67,0,5.08,RU,1695248905
221,wanxian,30.8039,108.3897,20.22,97,100,2.83,CN,1695248905
222,island harbour,50.724,-1.2758,14.43,92,100,0.45,GB,1695248906
223,jamestown,42.097,-79.2353,19.77,63,0,2.57,US,1695248906
224,kapuskasing,49.4169,-82.4331,21.05,37,0,3.6,CA,1695248890
225,kenai,60.5544,-151.2583,8.05,95,100,7.72,US,1695248907
226,mar del plata,-38.0023,-57.5575,13.38,91,100,4.12,AR,1695248708
227,kapoeta,4.7717,33.5903,24.97,64,17,0.95,SS,1695248908
228,timbuktu,16.7735,-3.0074,38.0,19,88,2.22,ML,1695248908
229,kipushi,-11.7667,27.2333,21.22,27,3,3.17,CD,1695248909
230,tocopilla,-22.092,-70.1979,20.71,66,18,5.97,CL,1695248910
231,baie-saint-paul,47.4411,-70.4986,19.47,72,27,4.1,CA,1695248910
232,rongelap,11.1635,166.8941,28.62,77,37,5.82,MH,1695248911
233,korba,22.35,82.6833,24.28,95,100,1.44,IN,1695248911
234,norvenich,50.8,6.65,20.87,73,64,4.27,DE,1695248912
235,sretensk,52.2453,117.7093,4.84,81,22,0.39,RU,1695248912
236,portland,45.5234,-122.6762,21.49,53,75,5.14,US,1695248711
237,kolonia,50.9333,6.95,19.34,70,0,2.57,DE,1695248653
238,strezhevoy,60.7333,77.5889,9.98,73,100,3.13,RU,1695248914
239,caleta de carquin,-11.0925,-77.6267,20.16,81,37,4.67,PE,1695248914
240,soro,21.2881,86.6858,25.25,94,100,2.72,IN,1695248915
241,vadso,70.0744,29.7487,4.49,75,0,5.14,NO,1695248916
242,stornoway,58.2093,-6.3865,11.98,92,75,3.6,GB,1695248916
243,aasiaat,68.7098,-52.8699,-4.48,83,71,1.39,GL,1695248917
244,aykhal,66.0,111.5,-0.08,85,67,6.12,RU,1695248917
245,las khorey,11.1595,48.1967,31.54,64,84,0.59,SO,1695248918
246,xilin hot,43.9667,116.0333,9.71,53,4,3.13,CN,1695248920
247,rio gallegos,-51.6226,-69.2181,7.03,45,75,12.86,AR,1695248696
248,sochi,43.6,39.7303,18.05,60,0,2.22,RU,1695248922
249,sanctuary point,-35.1114,150.629,19.3,52,9,2.96,AU,1695248922
250,hurricane,37.1753,-113.2899,30.28,24,46,2.68,US,1695248923
251,daru,-9.0763,143.2092,25.38,79,93,6.1,PG,1695248923
252,joaquin v. gonzalez,-25.0833,-64.1833,26.43,40,3,3.38,AR,1695248924
253,florence,43.7667,11.25,21.33,72,0,0.51,IT,1695248924
254,tolanaro,-25.0319,46.9987,22.04,83,20,3.09,MG,1695248925
255,xiva,41.3783,60.3639,12.99,53,0,3.45,UZ,1695248925
256,axim,4.8699,-2.2405,24.72,93,83,2.61,GH,1695248926
257,salinopolis,-0.6136,-47.3561,27.33,81,19,5.86,BR,1695248926
258,stanley,54.868,-1.6985,10.77,88,0,1.54,GB,1695248927
259,awjilah,29.1081,21.2869,24.99,36,0,3.84,LY,1695248927
260,walvis bay,-22.9575,14.5053,12.83,93,0,5.14,NA,1695248929
261,papao,-17.75,-149.55,26.82,73,2,4.11,PF,1695248930
262,bardai,11.65,7.2333,24.77,57,31,2.21,NG,1695248931
263,anadyr,64.75,177.4833,6.28,70,0,5.81,RU,1695248932
264,massawa,15.6097,39.45,31.96,59,82,2.15,ER,1695248932
265,xiaoweizhai,26.1903,107.5125,21.53,98,99,1.86,CN,1695248933
266,la'ie,21.6477,-157.9253,32.98,67,43,5.81,US,1695248933
267,libertad,8.9442,125.5019,24.1,93,93,0.41,PH,1695248933
268,faya-largeau,17.9257,19.1043,31.98,18,4,5.16,TD,1695248934
269,mantua,45.1667,10.7833,21.58,86,100,0.45,IT,1695248934
270,el granada,37.5027,-122.4694,27.14,67,100,6.17,US,1695248935
271,lerwick,60.1545,-1.1494,13.0,81,30,10.84,GB,1695248935
272,la passe,45.5549,-0.8967,18.88,78,74,3.1,FR,1695248936
273,alice springs,-23.7,133.8833,20.75,32,74,6.17,AU,1695248937
274,vares,44.1644,18.3283,16.68,62,100,1.37,BA,1695248938
275,taksimo,56.3444,114.8794,3.15,88,62,0.89,RU,1695248938
276,ugoofaaru,5.6667,73.0,28.03,72,84,3.16,MV,1695248939
277,zhangye,38.9342,100.4517,16.65,36,88,1.97,CN,1695248939
278,merizo village,13.2658,144.6691,28.31,98,100,4.13,GU,1695248940
279,minas de marcona,-15.2119,-75.1103,16.47,68,23,6.47,PE,1695248941
280,chudovo,59.1167,31.6833,16.18,81,98,3.82,RU,1695248941
281,bochnia,49.9691,20.4303,17.19,86,64,1.91,PL,1695248942
282,uglegorsk,49.0833,142.0333,12.42,53,0,8.28,RU,1695248942
283,taoudenni,22.6783,-3.9836,38.44,8,1,4.24,ML,1695248943
284,grand falls-windsor,48.9332,-55.6649,14.17,90,58,2.41,CA,1695248753
285,hays,30.0502,-98.0336,37.0,39,25,2.24,US,1695248732
286,thurso,58.5927,-3.5259,11.59,77,79,13.69,GB,1695248945
287,maceio,-9.6658,-35.7353,23.69,100,75,1.54,BR,1695248716
288,tsarevo,42.1667,27.85,17.39,81,16,1.42,BG,1695248947
289,coahuayana de hidalgo,18.7,-103.6583,30.73,71,55,1.83,MX,1695248948
290,sao jose da coroa grande,-8.8978,-35.1478,24.01,81,1,4.15,BR,1695248948
291,guapiles,10.2159,-83.7866,28.48,93,94,0.56,CR,1695248949
292,port-vila,-17.7338,168.3219,26.78,69,20,5.14,VU,1695248949
293,rikaze,29.25,88.8833,11.08,57,36,1.6,CN,1695248950
294,uchiza,-8.4592,-76.4633,28.63,61,60,0.57,PE,1695248950
295,labytnangi,66.6572,66.4183,7.42,96,100,3.61,RU,1695248951
296,port mathurin,-19.6833,63.4167,22.67,80,10,8.19,MU,1695248951
297,xichang,27.8964,102.2634,18.87,96,100,1.12,CN,1695248952
298,goundam,16.4145,-3.6708,37.32,23,66,2.05,ML,1695248952
299,santa marta,11.2408,-74.199,33.03,70,75,5.66,CO,1695248953
300,mandan,46.8267,-100.8896,20.99,68,75,5.14,US,1695248953
301,kodiak,57.79,-152.4072,12.73,62,0,6.17,US,1695248954
302,maridi,4.9158,29.4742,19.26,97,73,1.76,SS,1695248954
303,fontenay-le-comte,46.5833,-1.0,19.8,86,100,7.37,FR,1695248955
304,vorkuta,67.5,64.0,8.3,98,100,5.62,RU,1695248955
305,lovington,32.944,-103.3485,33.9,18,66,4.36,US,1695248956
306,jertih,5.7336,102.4897,24.15,92,98,1.48,MY,1695248956
307,maryborough,-25.5333,152.7,19.75,86,83,1.39,AU,1695248957
308,dukhan,25.4297,50.7858,31.23,66,19,3.04,QA,1695248958
309,cacabelos,42.6002,-6.7237,19.0,65,100,3.58,ES,1695248958
310,patterson,37.4716,-121.1297,29.86,44,0,0.33,US,1695248884
311,aitape,-3.1374,142.3475,26.82,77,76,1.49,PG,1695248959
312,sinabang,2.4803,96.3801,24.96,84,100,0.74,ID,1695248959
313,salahonda,2.1019,-78.7217,26.46,82,100,5.2,CO,1695248960
314,port isabel,26.0734,-97.2086,36.02,61,0,5.66,US,1695248960
315,zaragoza,41.6561,-0.8773,24.25,40,0,6.17,ES,1695248961
316,bokoro,12.3807,17.0568,29.98,45,12,2.15,TD,1695248962
317,kapa'a,22.0752,-159.319,29.18,68,75,5.66,US,1695248962
318,khandyga,62.6667,135.6,1.25,56,100,4.31,RU,1695248963
319,rapid city,44.0805,-103.231,24.61,38,0,3.6,US,1695248674
320,mazagao,-0.115,-51.2894,29.03,62,28,3.79,BR,1695248964
321,yabelo,4.8833,38.0833,19.33,55,98,2.71,ET,1695248964
322,karratha,-20.7377,116.8463,21.52,77,10,3.29,AU,1695248965
323,whitehorse,60.7161,-135.0538,11.12,57,75,7.2,CA,1695248965
324,tadine,-21.55,167.8833,22.83,76,19,6.22,NC,1695248966
325,tocaima,4.4582,-74.6343,35.37,31,34,2.6,CO,1695248966
326,tambacounda,13.7539,-13.7586,29.03,89,20,1.03,SN,1695248967
327,lagoa,39.05,-27.9833,20.29,76,98,10.19,PT,1695248968
328,pariaman,-0.619,100.12,23.03,93,98,1.22,ID,1695248968
329,coquimbo,-29.9533,-71.3436,14.85,72,0,4.12,CL,1695248969
330,al ghayzah,16.2079,52.176,26.84,83,67,3.91,YE,1695248969
331,pokhara,28.2333,83.9833,21.4,94,95,0.98,NP,1695248971
332,riverton,40.5219,-111.9391,28.92,23,40,7.2,US,1695248887
333,shimokizukuri,40.8061,140.3861,18.3,94,100,2.16,JP,1695248972
334,hami,42.8,93.45,18.74,19,78,1.44,CN,1695248972
335,beira,-19.8436,34.8389,22.05,100,0,2.57,MZ,1695248973
336,kununurra,-15.7667,128.7333,22.99,73,40,6.17,AU,1695248973
337,coos bay,43.3665,-124.2179,21.29,63,0,5.14,US,1695248974
338,porto novo,6.4965,2.6036,26.9,89,62,1.94,BJ,1695248974
339,tamanrasset,22.785,5.5228,23.95,17,0,2.06,DZ,1695248975
340,greymouth,-42.4667,171.2,13.59,89,88,7.15,NZ,1695248975
341,mendefera,14.8872,38.8153,15.96,84,69,1.21,ER,1695248976
342,alofi,-19.0595,-169.9187,21.94,78,75,5.14,NU,1695248976
343,churapcha,62.0025,132.4325,-2.48,59,96,4.16,RU,1695248977
344,zheleznogorsk-ilimskiy,56.5768,104.1217,3.13,84,15,0.8,RU,1695248977
345,nalut,30.3333,10.85,27.29,26,100,5.06,LY,1695248978
346,morant bay,17.8815,-76.4093,29.79,73,94,4.41,JM,1695248978
347,anzio,41.4853,12.6179,24.85,99,88,3.81,IT,1695248979
348,novoishimskiy,53.1981,66.7694,9.9,73,98,2.87,KZ,1695248979
349,kinkala,-4.3614,14.7644,26.62,62,64,0.88,CG,1695248980
350,borogontsy,62.6683,131.1683,-3.47,68,20,2.35,RU,1695248980
351,korla,41.7597,86.1469,20.37,41,87,7.18,CN,1695248981
352,tirebolu,41.0069,38.8139,21.04,79,88,2.6,TR,1695248981
353,puerto aysen,-45.4,-72.7,7.14,88,90,0.58,CL,1695248982
354,bayanhongor,46.7167,100.1167,1.5,54,37,2.14,MN,1695248982
355,marsassoum,12.8275,-15.9806,26.05,91,70,2.34,SN,1695248983
356,lucas,41.6501,-83.6666,26.32,53,0,3.09,US,1695248983
357,mili,6.0815,171.735,27.68,77,100,2.9,MH,1695248984
358,howrah,22.5892,88.3103,27.0,94,75,4.12,IN,1695248655
359,rio grande,-32.035,-52.0986,19.06,99,97,5.66,BR,1695248985
360,kavaratti,10.5669,72.642,27.65,78,100,4.4,IN,1695248821
361,cerritos,33.8583,-118.0648,27.59,57,20,5.14,US,1695248761
362,kingston,17.997,-76.7936,29.56,79,40,3.09,JM,1695248960
363,sijunjung,-0.6876,100.9537,21.61,98,89,0.75,ID,1695248988
364,conneaut,41.9476,-80.5542,23.62,68,40,3.11,US,1695248405
